macaddr,Unnamed: 0,_time,asa_code,user,radiomac,slotnum,name,building_name
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,16,2020-02-14T23:58:01.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,1,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,27,2020-02-14T23:55:32.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,70:10:5c:a0:11:b0,1,bryancenter-002ha-ap3602i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,30,2020-02-14T23:55:26.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,08:cc:68:91:23:00,1,bryancenter-postoff-ap3602e-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,3634,2020-02-14T23:55:18.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,70:10:5c:a0:11:b0,1,bryancenter-002ha-ap3602i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,58,2020-02-14T23:54:07.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,70:10:5c:a0:11:b0,1,bryancenter-002ha-ap3602i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,581,2020-02-14T23:52:50.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,50:06:04:c3:99:60,1,bryancenter-002g-ap3602i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,67,2020-02-14T23:52:41.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,c4:0a:cb:df:25:50,1,bryanctr-mcdonalds-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,3701,2020-02-14T23:52:30.000-05:00,APF-3-ASSOC_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,d4:a0:2a:4a:5e:c0,1,bryancenter-001b-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,3706,2020-02-14T23:52:23.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,c4:0a:cb:df:25:50,1,bryanctr-mcdonalds-ap3502i-rc-1,Bryan Student Center
c460dc6ae67c9683fb1cc74cfe26c5ced898a6e642468ae3857bb910bd11c7c9,1039,2020-02-14T23:52:23.000-05:00,APF-3-AUTHENTICATION_TRAP,a59f1804caa025a777e0d79d72dd0ccf05689f85c77879d23a7e7efc78d2eebd,08:cc:68:b8:f3:f0,1,bryancenter-002j-ap3602i-rc-1,Bryan Student Center
